carrera,escuela,arancel,duracion_formal,duracion_real,arancel_real
Diseño Gráfico Publicitario,IP LOS LEONES,"1220000",8 semestres,10 semestres,
Diseño Gráfico Profesional,IP AIEP,"1600000",8 semestres,"10.2 semestres",
Diseño Gráfico Profesional,IP AIEP,"1450000",8 semestres,"10.2 semestres",
Diseño Gráfico Profesional,IP AIEP,"1450000",8 semestres,"10.2 semestres",
Diseño Gráfico Profesional,IP AIEP,"1400000",8 semestres,"10.2 semestres",
Diseño Gráfico Profesional,IP AIEP,"1390000",8 semestres,"10.2 semestres",
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,"4538000",9 semestres,"10.3 semestres",
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,"3990000",9 semestres,"11.6 semestres",
Diseño de Vestuario,IP DUOC UC,"2200000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"2090000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"1942000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"1890000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"1876000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"1876000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"1812000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"1812000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"1620000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"1602000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional,IP INACAP,"1556000",8 semestres,"11.8 semestres",
Diseño Gráfico Profesional ,IP INACAP,"1582000",8 semestres,"11.8 semestres",
Diseño de Moda,IP INACAP,"2196000",8 semestres,"11.9 semestres ",
Diseño de Moda,IP INACAP,"1812000",8 semestres,"11.9 semestres ",
Diseño de Moda,IP INACAP,"1658000",8 semestres,"11.9 semestres ",
Diseño,UNIVERSIDAD FINIS TERRAE,"4256000",9 semestres,"11.9 semestres",
